"Bill_id","Bill_description","Patron_id","Patron_name","Last_house_committee_id","Last_house_action","Last_house_action_date","Last_senate_committee_id","Last_senate_action","Last_senate_action_date","Last_conference_action","Last_conference_action_date","Last_governor_action","Last_governor_action_date","Emergency","Passed_house","Passed_senate","Passed","Failed","Carried_over","Approved","Vetoed","Full_text_doc1","Full_text_date1","Full_text_doc2","Full_text_date2","Full_text_doc3","Full_text_date3","Full_text_doc4","Full_text_date4","Full_text_doc5","Full_text_date5","Full_text_doc6","Full_text_date6","Last_house_actid","Last_senate_actid","Last_conference_actid","Last_governor_actid","Chapter_id","Introduction_date","Last_actid"
"HB1","Minimum wage; increases incrementally to $15.00 per hour by January 1, 2028.","H0173","Ward","H02","Enrolled Bill communicated to Governor on March 14, 2026","3/14/2026","S05","","3/11/2026","","","Acts of Assembly Chapter text (CHAP0350)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB1","11/17/2025","HB1ER","3/11/2026","CHAP0350","4/8/2026","","","","","","","H7010","S5620","","G9998","CHAP0350","11/17/2025","G9998"
"HB2","Electric utilities; energy efficiency upgrades, report.","H0172","Sickles","H14","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S02","","3/3/2026","","","Governor's recommendation received by House","4/13/2026","N","Y","Y","Y","N","N","N","N","HB2","11/17/2025","HB2H1","1/22/2026","HB2ER","3/3/2026","","","","","","","H7010","S5620","","G7210","","11/17/2025","G7210"
"HB3","Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.","H0372","LeVere Bolling","H14","Enrolled Bill communicated to Governor on March 14, 2026","3/14/2026","S05","","3/11/2026","","","Approved by Governor-Chapter 540 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB3","11/17/2025","HB3ER","3/11/2026","","","","","","","","","H7010","S5620","","G7050","","11/17/2025","G7050"
"HB4","Affordable housing; preservation, definitions, civil penalty.","H0334","Bennett-Parker","H11","Enrolled Bill communicated to Governor on March 31, 2026","3/31/2026","S12","","3/30/2026","","","Acts of Assembly Chapter text (CHAP0352)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB4","11/17/2025","HB4ER","3/30/2026","CHAP0352","4/8/2026","","","","","","","H7010","S5620","","G9998","CHAP0352","11/17/2025","G9998"
"HB5","Employment; paid sick leave, civil penalties.","H0295","Convirs-Fowler","H02","Fiscal Impact Statement from Department of Planning and Budget (HB5)","4/2/2026","S05","","3/30/2026","Conference Report released","3/13/2026","Governor's Recommendation","4/12/2026","N","Y","Y","Y","N","N","N","N","HB5","11/17/2025","HB5E","2/12/2026","HB5S1","2/24/2026","HB5H1","3/13/2026","HB5ER","3/30/2026","HB5H2","4/14/2026","H8500","S5620","C6038","G7220","","11/17/2025","G7220"
"HB6","Contraception; definitions, establishes right to obtain, applicability, enforcement.","H0284","Price","H24","Fiscal Impact Statement from Department of Planning and Budget (HB6)","4/1/2026","S04","","3/30/2026","Conference Report released","3/12/2026","Acts of Assembly Chapter text (CHAP0524)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB6","11/17/2025","HB6S1","2/20/2026","HB6H1","3/12/2026","HB6ER","3/30/2026","CHAP0524","4/8/2026","","","H8500","S5620","C6038","G9998","CHAP0524","11/17/2025","G9998"
"HB7","Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.","H0368","Jones","H15","Left in Committee Public Safety","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB7","11/20/2025","","","","","","","","","","","H1594","","","","","11/20/2025","H1594"
"HB8","General Assembly; intergovernmental affairs.","H0124","Ware","H20","Left in Committee Rules","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB8","12/12/2025","","","","","","","","","","","H2094","","","","","12/12/2025","H2094"
"HB9","Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.","H0308","McNamara","H20","Continued to next session in Rules (Voice Vote)","2/6/2026","","","","","","","","N","N","N","N","N","Y","N","N","HB9","12/19/2025","","","","","","","","","","","H2040","","","","","12/19/2025","H2040"
"HB10","Real property tax; classification of land and improvements.","H0308","McNamara","H10","Left in Finance","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB10","12/19/2025","","","","","","","","","","","H1094","","","","","12/19/2025","H1094"
"HB11","Emergency custody orders; transportation to treatment center, etc.","H0308","McNamara","H24","Continued to next session in Health and Human Services (Voice Vote)","1/27/2026","","","","","","","","N","N","N","N","N","Y","N","N","HB11","12/19/2025","","","","","","","","","","","H2440","","","","","12/19/2025","H2440"
