"Bill_Number","Subject_Name","Subject_Id"
"HB9","Agriculture, Animal Care and Food","6"
"HB19","Study Commissions, Committees, and Reports","428"
"HB19","Menhaden Fish","880"
"HB19","Uncodified Legislation","1282"
"HB19","Fisheries and Habitat of the Tidal Waters","3974"
"HB20","Counties, Cities, and Towns","122"
"HB20","Motor Vehicles","299"
"HB20","Local Government and Officials","856"
"HB20","Ordinances","919"
"HB20","Photo-Monitoring","941"
"HB20","Speed Limits","1053"
"HB33","Health","218"
"HB33","Study Commissions, Committees, and Reports","428"
"HB33","Water and Sewer Systems","471"
"HB33","Uncodified Legislation","1282"
"HB38","Emergency Services and Vehicles","159"
"HB38","Pensions, Benefits, and Retirement","336"
"HB38","Local Government and Officials","856"
"HB38","Retirement Systems","1007"
"HB41","Education","154"
"HB41","Standards of Learning","1057"
"HB68","Workers' Compensation","494"
"HB80","Health","218"
"HB80","Study Commissions, Committees, and Reports","428"
"HB80","Suicide","1072"
"HB80","Veterans","13645"
"HB88","Income Tax","234"
"HB88","Taxation","437"
"HB109","Public Service Companies","361"
"HB109","Study Commissions, Committees, and Reports","428"
"HB109","Electric Companies","689"
"HB116","Computer Services and Uses","115"
"HB116","Sales and Use Tax","392"
"HB116","Taxation","437"
"HB116","Retail Sales and Use Tax","1006"
"HB130","Counties, Cities, and Towns","122"
"HB130","Constitutional Officers","639"
"HB141","Administration of Government","4"
"HB141","Study Commissions, Committees, and Reports","428"
"HB141","Veterans","13645"
"HB142","Motor Vehicles","299"
"HB142","Crosswalks","16487"
"HB158","Crimes and Offenses Generally","132"
"HB158","Children","597"
"HB158","Firearms","721"
"HB162","Pensions, Benefits, and Retirement","336"
"HB162","Retirement Systems","1007"
"HB178","Administration of Government","4"
"HB178","Commissions, Boards, and Institutions Generally","113"
"HB178","Study Commissions, Committees, and Reports","428"
"HB181","Education","154"
"HB181","Public Schools","980"
"HB206","Agriculture, Animal Care and Food","6"
"HB206","Pets, Pet Dealers, and Supplies","938"
"HB211","Higher Education","771"
"HB211","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB228","Consumer Protection","118"
"HB228","Trade and Commerce","445"
"HB228","Recycled Products","995"
"HB230","Insurance","238"
"HB230","Health Insurance","765"
"HB231","Pensions, Benefits, and Retirement","336"
"HB231","Retirement Systems","1007"
"HB240","Income Tax","234"
"HB240","Study Commissions, Committees, and Reports","428"
"HB240","Taxation","437"
"HB247","Property and Conveyances","356"
"HB247","Landlord and Tenant","833"
"HB247","Virginia Residential Landlord and Tenant Act","16497"
"HB248","Professional and Occupational Regulation","968"
"HB261","Income Tax","234"
"HB261","Taxation","437"
"HB270","Appropriations","24"
"HB270","Crimes and Offenses Generally","132"
"HB270","Police, State","345"
"HB270","Study Commissions, Committees, and Reports","428"
"HB270","Firearms","721"
"HB273","Domestic Relations","146"
"HB273","Divorce","676"
"HB274","Workers' Compensation","494"
"HB274","Firefighters and Fire Marshals","722"
"HB276","Elections","156"
"HB276","Campaign Practices","575"
"HB286","Health","218"
"HB286","Study Commissions, Committees, and Reports","428"
"HB286","Uncodified Legislation","1282"
"HB300","Emergency Services and Vehicles","159"
"HB300","Pensions, Benefits, and Retirement","336"
"HB300","Local Government and Officials","856"
"HB300","Retirement Systems","1007"
"HB319","Counties, Cities, and Towns","122"
"HB319","Crimes and Offenses Generally","132"
"HB319","Firearms","721"
"HB323","Professions and Occupations","355"
"HB323","Compacts","627"
"HB328","Education","154"
"HB328","Compacts","627"
"HB328","Teachers","1076"
"HB331","Charters","82"
"HB331","Richmond, City of","377"
"HB338","Counties, Cities, and Towns","122"
"HB338","Data Centers","16509"
"HB343","Financial Institutions and Services","171"
"HB347","Education","154"
"HB347","School Boards","1029"
"HB348","Labor and Employment","258"
"HB348","Local Government and Officials","856"
"HB348","State Employees","1060"
"HB357","Study Commissions, Committees, and Reports","428"
"HB357","Waters of the State, Ports, and Harbors","472"
"HB357","Wetlands","1152"
"HB357","Uncodified Legislation","1282"
"HB359","Education","154"
"HB359","Public Schools","980"
"HB360","Education","154"
"HB363","Appropriations","24"
"HB363","Civil Remedies and Procedure","93"
"HB363","Elections","156"
"HB363","Affidavits","510"
"HB363","Candidates in Elections","577"
"HB366","Tuition","1108"
"HB366","Virginia National Guard","1130"
"HB366","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB369","Civil Remedies and Procedure","93"
"HB369","Study Commissions, Committees, and Reports","428"
"HB369","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB372","Education","154"
"HB373","Financial Institutions and Services","171"
"HB373","Senior Citizens","400"
"HB373","State Corporation Commission","421"
"HB375","Elections","156"
"HB375","Compacts","627"
"HB375","President or Vice President","961"
"HB386","Education","154"
"HB386","Public Schools","980"
"HB386","Students","1068"
"HB406","Uncodified Legislation","1282"
"HB406","Clean Water Act","17552"
"HB408","Education","154"
"HB408","Child Care","594"
"HB420","Conservation","116"
"HB420","Governor","201"
"HB440","Elections","156"
"HB440","Candidates in Elections","577"
"HB440","Electronic Processes","692"
"HB447","Motor Vehicles","299"
"HB447","Taxation","437"
"HB485","Education","154"
"HB485","Criminal History Information","655"
"HB485","School Boards","1029"
"HB486","Higher Education","771"
"HB486","Scholarships","1028"
"HB486","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB489","Insurance","238"
"HB492","Emergency Services and Vehicles","159"
"HB492","Uncodified Legislation","1282"
"HB499","Medicaid and Medicare Programs","876"
