"CMB_COMNO","CMB_MBRNO"
"H01","H0239"
"H01","H0336"
"H01","H0305"
"H01","H0323"
"H01","H0327"
"H01","H0208"
"H01","H0281"
"H01","H0349"
"H01","H0366"
"H01","H0371"
"H01","H0374"
"H01","H0395"
"H01","H0399"
"H01","H0400"
"H01","H0393"
"H01","H0124"
"H01","H0136"
"H01","H0231"
"H01","H0247"
"H01","H0267"
"H01","H0259"
"H01","H0369"
"H02","H0227"
"H02","H0212"
"H02","H0207"
"H02","H0281"
"H02","H0285"
"H02","H0301"
"H02","H0327"
"H02","H0343"
"H02","H0311"
"H02","H0208"
"H02","H0284"
"H02","H0305"
"H02","H0323"
"H02","H0382"
"H02","H0371"
"H02","H0253"
"H02","H0224"
"H02","H0267"
"H02","H0238"
"H02","H0328"
"H02","H0329"
"H02","H0350"
"H07","H0370"
"H07","H0404"
"H07","H0405"
"H07","H0317"
"H07","H0343"
"H07","H0344"
"H07","H0323"
"H07","H0311"
"H07","H0355"
"H07","H0374"
"H07","H0392"
"H07","H0397"
"H07","H0400"
"H07","H0386"
"H07","H0389"
"H07","H0224"
"H07","H0238"
"H07","H0308"
"H07","H0328"
"H07","H0345"
"H07","H0350"
"H08","H0402"
"H08","H0219"
"H08","H0340"
"H08","H0108"
"H08","H0264"
"H08","H0269"
"H08","H0294"
"H08","H0366"
"H08","H0356"
"H08","H0380"
"H08","H0354"
"H08","H0370"
"H08","H0396"
"H08","H0387"
"H08","H0400"
"H08","H0056"
"H08","H0262"
"H08","H0333"
"H08","H0348"
"H08","H0357"
"H08","H0401"
"H08","H0398"
"H09","H0403"
"H09","H0266"
"H09","H0323"
"H09","H0207"
"H09","H0297"
"H09","H0343"
"H09","H0295"
"H09","H0311"
"H09","H0336"
"H09","H0356"
"H09","H0380"
"H09","H0371"
"H09","H0372"
"H09","H0386"
"H09","H0391"
"H09","H0335"
"H09","H0345"
"H09","H0342"
"H09","H0362"
"H09","H0383"
"H09","H0369"
"H09","H0401"
"H10","H0403"
"H10","H0404"
"H10","H0406"
"H10","H0108"
