"SUM_BILNO","SUMMARY_DOCID","SUMMARY_TYPE","SUMMARY_TEXT"
"HB0001","HB1S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Minimum wage.</b> Increases the minimum wage incrementally  to $15.00 per hour by January 1, 2028. The bill codifies the adjusted state  hourly minimum wage of $12.77 per hour that is effective January 1, 2026, and increases the minimum wage to $13.75 per hour  effective January 1, 2027, and to $15.00 per hour  effective January 1, 2028. Effective January 1, 2029, and annually thereafter,  the bill requires the minimum wage to be adjusted to reflect increases in the consumer price  index."
"HB0002","HB2S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Phase I and Phase II Utilities; energy efficiency upgrades;  low-income residents; report.</b> States that it is the policy of the  Commonwealth to reduce, wherever feasible and cost-effective, heating-related  costs of living for low-income residents. The bill requires Dominion Energy  Virginia and Appalachian Power to make best, reasonable efforts to provide by  December 31, 2031, prescriptive efficiency measures, as defined in the bill,  and related efficiency improvements to at least 30 percent of the qualifying  households, as defined in the bill, identified by such utilities, provided that  the State Corporation Commission determines that such  measures and improvements are in the public interest. The bill requires  such utilities to report to the Commission its activities, plans, and filings  regarding the bill's provisions no later than January 1, 2028, annually  thereafter, and in any recurring filing that the Commission deems appropriate."
"HB0002","HB2SE     ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Phase I and Phase II Utilities; energy efficiency upgrades; low-income residents; report.</b> States that it is the policy of the Commonwealth to reduce, wherever feasible and cost-effective, heating-related costs of living for low-income residents. The bill requires Dominion Energy Virginia and Appalachian Power to make best, reasonable efforts to provide by December 31, 2031, prescriptive efficiency measures, as defined in the bill, and related efficiency improvements to at least 30 percent of the qualifying households, as defined in the bill, identified by such utilities, provided that the State Corporation Commission determines that such measures and improvements are in the public interest. The bill requires such utilities to report to the Commission its activities, plans, and filings regarding the bill's provisions no later than January 1, 2028, annually thereafter, and in any recurring filing that the Commission deems appropriate. The bill also requires that&nbsp;Dominion Energy and Appalachian Power&nbsp;make reasonable efforts to incorporate recommendations or feedback provided by the task force that evaluates barriers to access and enrollment in programs for income-qualified energy customers.</p>"
"HB0003","HB3S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Housing and Community  Development; Income-Qualified Energy Efficiency and Weatherization Task Force  established; report.</b>Directs the Department of Housing and Community  Development to establish, in collaboration with the Department of Energy, and  with assistance from the Department of Social Services, the Income-Qualified  Energy Efficiency and Weatherization Task Force to determine barriers to access  and enrollment in the current energy efficiency programs for income-qualified  energy customers and to evaluate and develop a plan to address any necessary  improvements regarding coordination among state and federal government agencies  for utility services and resources to more effectively deliver energy-efficient  housing, weatherization resources, and energy efficiency upgrades for  income-qualified individuals and households in the Commonwealth. The bill  requires the Task Force to meet at least six times between July 1, 2026, and  September 30, 2027, and to submit a report of its findings and recommendations  no later than September 30, 2027. The bill specifies that such report shall  include policy recommendations and a plan to ensure that weatherization-ready  repairs and whole-home energy efficiency retrofits are provided to all eligible  income-qualified individuals and households in the Commonwealth residing in  multifamily buildings, single-family dwellings, and manufactured homes by  December 31, 2034."
"HB0004","HB4S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Preservation of affordable housing; definitions; civil  penalty.</b> Creates a framework for localities to preserve affordable housing  by exercising a right of first refusal on publicly supported housing, defined in  the bill. The bill authorizes localities to adopt an ordinance that requires an  owner to accept a right of first refusal offer by the locality or qualified  designee, defined in the bill, in order to preserve affordable housing for at  least 15 years. The bill requires that any locality with a  population greater than 3,500 adopting such an ordinance to preserve  affordable housing submit an annual report to the Department of Housing and  Community Development pursuant to existing law."
"HB0005","HB5S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Employment; paid sick leave; civil penalties.</b> Expands  provisions of the Code that currently require one hour of paid sick leave for  every 30 hours worked for home health workers to cover all employees of private  employers and state and local governments. The bill requires that employees who  are employed and compensated on a fee-for-service basis accrue paid sick leave  in accordance with regulations adopted by the Commissioner of Labor and  Industry. The bill provides that employees transferred to a separate division  or location remain entitled to previously accrued paid sick leave and that  employees retain their accrued sick leave under any successor employer. The  bill allows employers to provide a more generous paid sick leave policy than  prescribed by its provisions and specifies that employees,  in addition to using paid sick leave for their physical or mental illness or to  care for a family member, may use paid sick leave to seek  or obtain certain services or to relocate or secure  an existing home due to domestic abuse, sexual assault, or stalking.</p>  <p class=sumtext crlf=initial= word-spacing:0px;=crlf:= font-variant-caps:=font-variant-ligatures:= -webkit-text-stroke-width:=normal;= text-decoration-style:=0px;= text-decoration-color:=initial;=>The  bill provides that certain health care workers who work no more than 30 hours  per month may waive the right to accrue and use paid sick leave. The bill also  provides that employers are not required to provide paid sick leave to certain  health care workers who are employed on a pro re nata, or as-needed, basis,  regardless of the number of hours worked. The bill requires the Commissioner to  promulgate regulations regarding employee notification and employer  recordkeeping requirements.</p>  <p class=sumtext crlf=initial= word-spacing:0px;=crlf:= font-variant-caps:=font-variant-ligatures:= -webkit-text-stroke-width:=normal;= text-decoration-style:=0px;= text-decoration-color:=initial;=>The  bill authorizes the Commissioner, in the case of a knowing violation, to  subject an employer to a civil penalty not to exceed $150 for the first  violation, $300 for the second violation, and $500 for each successive  violation. The Commissioner may institute proceedings on behalf of an employee  to enforce compliance with the provisions of this bill. Additionally, the bill authorizes an aggrieved employee to bring a  civil action against the employer in which he may recover double the amount of  any unpaid sick leave and the amount of any actual damages suffered as the  result of the employer's violation. The bill has a delayed effective date of  July 1, 2027."
"HB0005","HB5SE     ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Employment; paid sick leave; civil penalties.</b> Expands provisions of the Code that currently require one hour of paid sick leave for every 30 hours worked for home health workers to cover all employees of private employers and state and local governments. The bill requires that employees who are employed and compensated on a fee-for-service basis accrue paid sick leave in accordance with regulations adopted by the Commissioner of Labor and Industry. The bill provides that employees transferred to a separate division or location remain entitled to previously accrued paid sick leave and that employees retain their accrued sick leave under any successor employer. The bill allows employers to provide a more generous paid sick leave policy than prescribed by its provisions and specifies that employees, in addition to using paid sick leave for their physical or mental illness or to care for a family member, may use paid sick leave to seek or obtain certain services or to relocate or secure an existing home due to domestic abuse, sexual assault, or stalking.</p><p class='sumtext' crlf='initial='  word-spacing:0px;=' crlf:=' font-variant-caps:=' font-variant-ligatures:=' -webkit-text-stroke-width:='  normal;=' text-decoration-style:='0px;=' text-decoration-color:='initial;='>The bill provides that certain health care workers who work no more than 30 hours per month may waive the right to accrue and use paid sick leave. The bill also provides that employers are not required to provide paid sick leave to certain health care workers who are employed on a pro re nata, or as-needed, basis, regardless of the number of hours worked. The bill requires the Commissioner to promulgate regulations regarding employee notification and employer recordkeeping requirements.</p><p class='sumtext' crlf='initial='  word-spacing:0px;=' crlf:=' font-variant-caps:=' font-variant-ligatures:=' -webkit-text-stroke-width:='  normal;=' text-decoration-style:='0px;=' text-decoration-color:='initial;='>The bill authorizes the Commissioner, in the case of a knowing violation, to subject an employer to a civil penalty not to exceed $150 for the first violation, $300 for the second violation, and $500 for each successive violation. The Commissioner may institute proceedings on behalf of an employee to enforce compliance with the provisions of this bill. Additionally, the bill authorizes an aggrieved employee to bring a civil action against the employer in which he may recover double the amount of any unpaid sick leave and the amount of any actual damages suffered as the result of the employer's violation. The bill has a delayed effective date of July 1, 2027. </p>"
"HB0006","HB6S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Contraception; right to contraception; applicability;  enforcement.</b> Establishes a right to obtain contraceptives and engage in  contraception, as such terms are defined in the bill. The bill clarifies that none  of its provisions shall be construed to permit or sanction the performance of  any sterilization procedure without a patient's voluntary and informed consent.  The bill creates a cause of action that may be instituted against anyone who  infringes on such right."
"HB0007","HB7S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Law-enforcement officers; restrictions  on wearing of facial coverings; exceptions; civil liability; penalty. </b>Prohibits  certain state and federal law-enforcement officers from wearing facial  coverings, defined in the bill, while engaged in the performance of their  official duties. The bill sets out several exceptions to such prohibition,  including protective facial coverings to protect against disease, infection,  and exposure to toxic substances and facial coverings worn  by any law-enforcement officer assigned to a special weapons and tactics  team while engaged in the performance of his official duties with such team.  The bill subjects the law-enforcement officer to  disciplinary action, including dismissal, demotion, suspension, transfer, or  decertification, and creates a Class 1 misdemeanor for any  law-enforcement officer who wears a facial covering in violation of the  provisions of the bill unless the law-enforcement agency that employs such  law-enforcement officer has adopted and established a written policy for and  restrictions on the use of facial coverings. The  bill also directs the Department of Criminal Justice Services to develop a  model policy for and restrictions on the use of  facial coverings by law-enforcement officers.</p>  <p class=sumtext>Finally, the bill creates a civil cause of action for any  person injured as a result of tortious conduct by a law-enforcement officer who  knowingly and intentionally wears a facial covering in violation of the  provisions of the bill. The bill provides that sovereign immunity shall not be  a defense to civil liability for such tortious conduct."
"HB0008","HB8S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>General Assembly;  intergovernmental affairs; delegates to convention for proposing amendments  held pursuant to Article V of the Constitution of  the United States; penalties.</b> Provides for the selection by the General  Assembly of delegates to attend a convention for proposing amendments to  the Constitution of the United States held pursuant to Article V of the  Constitution of the United States. The bill grants the General Assembly the power to recall  delegates, appoint new delegates, and convene an advisory  committee to oversee the conduct of delegates. The bill provides that  delegates must take an oath to adhere to the instructions of the General  Assembly and any delegate who votes or otherwise acts beyond the authority  granted in such instructions is guilty of a Class 5 felony."
