"Bill_ID","History_RefID","Vote_Date","Legislator_ID","Recorded_Vote","Vote_Statement"
"HR6","2619788","2026-01-14T12:31:04","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HJ29","2619789","2026-01-14T13:18:46","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HJ30","2619790","2026-01-14T13:19:35","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HR7","2619791","2026-01-14T13:32:31","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HJ1","2619792","2026-01-14T16:13:14","H0206","X","Delegate Knight was recorded as not voting. Intended to vote nay."
"HJ2","2619793","2026-01-14T16:18:48","H0206","X","Delegate Knight was recorded as not voting. Intended to vote nay."
"HJ3","2619794","2026-01-14T16:26:13","H0206","X","Delegate Knight was recorded as not voting. Intended to vote nay."
"HJ4","2619795","2026-01-14T16:46:53","H0206","X","Delegate Knight was recorded as not voting. Intended to vote nay."
"HJ4","2619795","2026-01-14T16:46:53","H0321","A","Delegate Runion was recorded as abstaining. Intended to vote nay."
"HJ74","2619811","2026-01-21T12:10:10","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HJ74","2619811","2026-01-21T12:10:10","H0333","X","Delegate Ballard was recorded as not voting. Intended to vote yea."
"HJ74","2619811","2026-01-21T12:10:10","H0388","X","Delegate Carroll was recorded as not voting. Intended to vote yea."
"HR24","2619812","2026-01-21T12:48:12","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HR24","2619812","2026-01-21T12:48:12","H0388","X","Delegate Carroll was recorded as not voting. Intended to vote yea."
"HR25","2619813","2026-01-21T12:48:36","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HR25","2619813","2026-01-21T12:48:36","H0388","X","Delegate Carroll was recorded as not voting. Intended to vote yea."
"HR26","2619814","2026-01-21T12:49:01","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HR26","2619814","2026-01-21T12:49:01","H0388","X","Delegate Carroll was recorded as not voting. Intended to vote yea."
"HR27","2619815","2026-01-21T12:49:27","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HR27","2619815","2026-01-21T12:49:27","H0388","X","Delegate Carroll was recorded as not voting. Intended to vote yea."
"HR28","2619816","2026-01-21T12:49:56","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HR28","2619816","2026-01-21T12:49:56","H0388","X","Delegate Carroll was recorded as not voting. Intended to vote yea."
"HJ74","2619817","2026-01-21T12:59:16","H0206","X","Delegate Knight was recorded as not voting. Intended to vote yea."
"HB2","2619841","2026-01-28T12:22:45","H0362","X","Delegate Garrett was recorded as not voting. Intended to vote nay."
"HB2","2619841","2026-01-28T12:22:45","H0404","X","Delegate Franklin, M.A. was recorded as not voting. Intended to vote yea."
"HB3","2619842","2026-01-28T12:23:15","H0366","X","Delegate Hernandez was recorded as not voting. Intended to vote yea."
"HB25","2619844","2026-01-28T12:24:09","H0374","X","Delegate Martinez was recorded as not voting. Intended to vote yea."
"HB301","2619847","2026-01-28T12:25:21","H0389","X","Delegate Cole, N.T. was recorded as not voting. Intended to vote yea."
"HB399","2619853","2026-01-28T12:30:09","H0370","X","Delegate Keys-Gamarra was recorded as not voting. Intended to vote yea."
"HB77","2619857","2026-01-28T12:32:03","H0321","N","Delegate Runion was recorded as nay. Intended to vote yea."
"HB343","2619858","2026-01-28T12:32:27","H0347","Y","Delegate Wachsmann was recorded as yea. Intended to vote nay."
"SB435","SV112","2026-01-28T12:24:45","S0120","Y","Senator Durant stated that she voted yea on the question of the passage of S.B. 435, whereas she intended to vote nay."
"SB681","SV127","2026-01-29T13:53:17","S0098","N","Senator McPike stated that he voted nay on the question of the passage of S.B. 681, whereas he intended to vote yea."
"SB648","SV131","2026-01-29T14:10:11","S0118","N","Senator Craig stated that she voted nay on the question of the passage of S.B. 648, whereas she intended to vote yea."
"SJ3","SV33","2026-01-16T12:55:37","S0101","N","Senator Suetterlein stated that he voted nay on the question of agreeing to S.J.R. 3, whereas he intended to vote yea."
"HJ74","SV50","2026-01-21T12:28:00","S0088","X","Senator Reeves stated that he was recorded as not voting on the question of agreeing to H.J.R. 74, whereas he intended to vote yea."
"SB77","SV70","2026-01-22T12:34:55","S0132","X","Senator Cifers stated that he was recorded as not voting on the question of the passage of S.B. 77, whereas he intended to vote yea."
"SB39","SV92","2026-01-27T12:26:09","S0068","X","Senator Obenshain stated that he was recorded as not voting on the question of the passage of S.B. 39, whereas he intended to vote yea."
"SB53","SV93","2026-01-27T12:27:17","S0085","X","Senator Ebbin stated that he was recorded as not voting on the question of the passage of S.B. 53, whereas he intended to vote yea."
"SB227","SV96","2026-01-27T12:43:56","S0068","X","Senator Obenshain stated that he was recorded as not voting on the question of the passage of S.B. 227, whereas he intended to vote yea."
"SB315","SV98","2026-01-27T12:56:13","S0062","X","Senator Deeds stated that he was recorded as not voting on the question of the passage of S.B. 315, whereas he intended to vote yea."
